,0,100,200,300,400
6,0.529265873015873,0.5238095238095238,0.5252976190476191,0.5322420634920635,0.49950396825396826
5,0.5282738095238095,0.5277777777777778,0.5257936507936508,0.5049603174603174,0.5094246031746031
4,0.5223214285714286,0.5223214285714286,0.5223214285714286,0.5029761904761905,0.5044642857142857
3,0.5138888888888888,0.5441468253968254,0.5734126984126984,0.5297619047619048,0.5381944444444444
2,0.5426587301587301,0.5431547619047619,0.5396825396825397,0.5267857142857143,0.5024801587301587
1,0.533234126984127,0.5496031746031746,0.5570436507936508,0.5243055555555556,0.5153769841269841
0,0.5218253968253969,0.5287698412698413,0.5362103174603174,0.5208333333333334,0.5188492063492064
